,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
30,21-May-2020 - 00:00,22-May-2020 - 00:00,49.28,148.22,4.23,28.48,18.59,179.85,49.19,0.4,17.6,2.05,33.4,30.68,43.76,1.93,122.96,89.15,0.02,
31,22-May-2020 - 00:00,23-May-2020 - 00:00,29.31,133.29,2.48,21.13,13.25,33.0,11.87,0.42,25.51,0.33,7.15,31.09,32.86,1.45,63.06,84.41,0.06,
32,23-May-2020 - 00:00,24-May-2020 - 00:00,48.0,148.12,2.86,25.58,15.93,33.93,16.18,0.49,24.96,0.46,8.89,30.97,35.52,0.93,114.32,75.03,0.22,
33,24-May-2020 - 00:00,25-May-2020 - 00:00,45.01,127.76,2.56,19.49,12.44,32.47,10.46,0.46,30.42,0.24,3.97,30.59,45.14,0.48,189.06,64.91,0.07,
34,25-May-2020 - 00:00,26-May-2020 - 00:00,33.54,93.33,2.58,12.8,8.91,29.93,6.22,0.39,26.42,0.12,1.15,30.85,52.27,1.05,175.6,67.64,0.01,
35,26-May-2020 - 00:00,27-May-2020 - 00:00,33.77,85.95,2.47,13.18,9.03,24.96,8.07,0.51,26.05,0.17,1.86,31.01,50.68,1.2,161.53,68.55,0.04,
36,27-May-2020 - 00:00,28-May-2020 - 00:00,31.9,86.0,2.73,13.79,9.55,21.82,4.94,0.39,24.87,0.14,1.82,31.75,49.94,1.18,170.33,93.56,0.0,
37,28-May-2020 - 00:00,29-May-2020 - 00:00,22.42,74.0,1.99,7.48,4.7,15.82,7.17,0.62,22.28,0.17,2.08,29.85,36.06,0.92,97.56,45.44,0.0,
38,29-May-2020 - 00:00,30-May-2020 - 00:00,26.38,107.52,2.44,15.57,9.75,78.68,16.54,0.52,20.24,0.72,6.8,30.51,41.46,1.57,176.54,51.64,0.02,
39,30-May-2020 - 00:00,31-May-2020 - 00:00,20.43,65.52,2.47,11.16,7.94,21.25,7.05,0.24,20.92,0.4,2.97,29.59,53.3,1.55,140.95,47.19,0.0,
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,22.23,57.41,2.45,16.99,11.03,22.72,3.57,0.33,18.27,0.09,1.39,29.77,67.06,1.39,163.93,54.01,0.13,
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,28.37,70.64,3.33,22.58,14.58,29.54,6.44,0.39,18.46,0.24,8.18,28.65,70.72,0.93,152.87,49.6,0.12,
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,17.76,43.27,3.24,14.7,10.46,37.31,3.05,0.24,17.01,0.16,3.24,26.79,71.67,1.16,198.48,52.16,0.05,
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,11.24,39.73,3.15,13.29,9.63,42.46,5.01,0.44,19.06,0.07,4.08,28.33,69.84,1.98,257.02,73.05,0.0,
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,14.4,38.69,2.6,10.64,7.77,31.9,6.87,0.21,15.36,0.08,1.45,29.97,67.33,3.03,254.4,63.64,0.01,
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,25.49,71.62,3.0,18.12,12.07,41.83,13.92,0.25,14.65,0.47,4.21,29.83,62.52,2.06,269.44,77.78,0.02,
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,32.36,106.73,3.95,17.86,12.71,70.96,30.11,0.27,13.11,0.59,10.04,30.26,57.57,2.18,237.39,79.17,0.06,
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,26.06,94.39,3.97,15.3,11.37,65.04,24.08,0.28,13.56,0.7,16.14,30.13,59.11,2.59,138.78,63.98,0.03,
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,27.16,106.17,4.27,19.41,13.79,64.51,27.08,0.26,12.24,0.68,13.21,30.01,56.95,2.76,120.21,73.1,0.02,
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,25.08,80.45,3.7,14.25,10.58,63.62,23.37,0.25,14.64,0.71,13.89,30.49,57.72,2.12,173.16,78.28,0.02,
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,23.81,49.8,3.26,13.31,9.73,35.09,9.92,0.29,12.24,0.41,5.97,30.3,79.29,1.96,178.03,56.01,0.01,
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,34.68,76.46,3.79,21.27,14.39,51.7,13.62,0.28,11.47,1.03,13.57,30.11,85.91,2.36,144.01,32.71,0.22,
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,26.84,61.67,3.82,16.39,11.83,74.08,9.54,0.24,14.61,1.19,7.96,30.32,81.96,2.53,127.21,43.1,0.02,
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,8.99,25.68,3.0,12.28,8.98,18.73,5.91,0.19,11.83,0.08,0.63,30.39,74.64,2.06,91.21,53.41,0.01,
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,15.04,38.4,3.28,15.32,10.81,32.27,12.82,0.23,11.61,0.27,3.99,30.15,72.91,2.42,65.14,53.19,0.0,
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,15.93,44.52,3.77,15.33,11.22,27.41,10.67,0.28,9.66,0.35,4.67,30.2,75.76,2.84,97.94,49.38,0.12,
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,7.32,18.15,2.61,8.29,6.53,14.96,4.57,0.2,10.12,0.02,0.3,30.4,81.14,2.86,145.69,44.53,0.0,
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,12.67,25.98,3.15,13.39,9.69,18.39,7.23,0.21,10.16,0.09,1.55,30.22,81.77,2.84,273.08,39.66,0.0,
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,14.17,38.18,3.11,10.87,8.31,18.04,5.84,0.2,10.27,0.11,1.21,30.39,80.94,3.1,236.36,48.81,0.0,
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,28.06,85.83,5.76,22.76,16.79,62.45,19.27,0.3,9.11,1.23,16.2,30.3,76.01,3.07,159.92,61.67,0.03,
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,30.31,99.39,4.77,14.91,11.81,76.57,21.16,0.24,10.29,0.76,10.42,30.27,73.36,3.13,180.17,77.15,0.04,
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,36.59,120.09,6.29,20.52,16.03,92.69,21.26,0.29,9.22,0.79,18.38,29.81,79.08,2.74,254.95,78.04,0.1,
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,29.5,96.2,4.53,13.07,10.64,56.99,17.47,0.23,9.96,0.91,10.51,29.91,72.07,2.73,227.27,104.8,0.07,
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,20.79,54.9,5.24,13.62,11.5,35.77,12.61,0.18,10.34,0.39,5.28,30.4,71.91,2.74,206.84,183.19,0.0,
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,13.0,56.0,3.55,6.78,6.53,19.12,11.0,0.23,14.92,0.1,2.6,30.9,63.5,1.58,111.0,428.17,0.0,
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,22.41,51.67,2.28,11.33,7.88,15.73,3.92,0.31,18.25,0.08,1.74,30.27,59.19,,110.36,174.21,0.06,
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,26.17,60.97,2.76,11.82,8.53,15.95,4.02,0.29,13.5,0.07,1.44,30.73,65.52,0.88,154.18,79.24,0.05,
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,23.47,45.58,3.05,14.44,10.16,18.29,5.54,0.29,11.87,0.09,2.88,30.07,69.81,2.45,158.97,110.11,0.07,
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,25.91,54.25,3.99,18.75,13.21,19.13,10.3,0.3,11.92,0.35,6.0,30.53,75.07,3.01,185.29,119.06,0.09,
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,20.85,59.82,3.97,22.39,15.13,24.93,11.35,0.28,10.73,0.64,7.43,30.54,75.12,2.5,152.6,100.81,0.1,
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,21.78,71.1,3.16,19.89,13.14,18.94,6.18,0.29,10.21,0.25,4.89,29.96,72.34,2.45,234.9,126.39,0.13,
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,12.36,42.09,3.53,13.96,10.3,19.22,8.71,0.18,9.87,0.08,3.31,29.8,70.18,4.24,201.55,140.49,0.01,
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,14.55,36.19,4.58,14.09,11.22,32.19,15.47,0.22,8.35,0.58,6.74,30.07,75.95,5.71,109.32,126.51,0.01,
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,13.39,26.16,4.42,13.89,10.98,24.12,14.97,0.19,7.4,0.12,2.94,29.93,79.16,5.86,187.02,94.56,0.01,
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,16.55,32.86,3.62,15.18,11.01,23.02,12.03,0.25,8.67,0.17,3.16,30.0,81.74,5.87,214.23,71.32,0.01,
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,20.15,40.32,4.47,20.58,14.58,21.78,18.78,0.2,7.4,0.24,3.35,29.84,81.03,5.99,230.74,63.89,0.0,
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,21.5,49.05,4.23,17.07,12.52,12.85,12.21,0.16,7.61,0.07,1.06,29.94,80.68,5.37,274.0,67.65,0.0,
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,11.24,34.35,2.84,6.35,5.69,10.46,4.24,0.14,8.92,0.02,0.3,29.92,72.6,5.53,257.28,102.82,0.0,
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,8.89,28.16,3.65,9.36,7.95,20.39,7.23,0.2,8.4,0.09,3.33,30.4,76.88,4.67,222.09,105.34,0.01,
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,12.26,28.03,4.28,15.87,11.92,22.11,6.85,0.16,7.49,0.12,3.0,29.74,79.58,5.06,237.18,99.62,0.01,
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,15.76,35.31,4.49,17.91,13.18,19.08,13.81,0.2,8.26,0.24,6.76,29.83,79.9,4.39,212.44,67.89,0.05,
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,19.5,45.94,6.06,16.83,13.89,19.25,8.98,0.24,7.45,0.2,5.05,29.53,78.9,4.51,185.2,105.36,0.08,
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,20.21,51.57,4.26,13.77,10.79,26.05,13.9,0.19,8.26,0.48,4.73,29.83,74.46,4.58,201.99,111.31,0.03,
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,19.86,53.95,5.52,21.06,15.69,20.24,11.23,0.39,7.62,0.54,4.81,29.83,75.52,3.47,158.58,98.36,0.28,
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,16.59,35.54,3.93,13.75,10.51,32.11,7.9,0.17,7.88,0.26,4.93,29.94,80.69,4.42,179.33,75.82,0.04,
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,16.99,29.67,5.15,15.02,12.18,36.86,8.71,0.19,7.64,0.48,8.16,29.97,90.25,4.08,202.46,46.83,0.02,
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,9.0,24.43,3.48,14.43,10.51,13.82,6.86,0.11,8.45,0.08,1.13,29.17,81.72,6.39,250.78,92.25,0.01,
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,8.36,28.24,2.88,6.51,5.8,12.24,3.6,0.15,8.73,0.01,0.31,29.39,77.14,5.0,249.66,117.48,0.0,
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,14.06,43.7,3.1,11.11,8.44,15.28,5.83,0.18,8.57,0.12,1.3,29.56,74.78,3.73,237.53,125.5,0.02,
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,21.26,45.98,4.42,15.65,11.92,22.11,9.96,0.19,7.43,0.49,6.32,29.79,80.11,3.71,146.25,120.08,0.03,
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,20.34,49.52,5.95,18.12,14.63,31.89,12.4,0.25,8.2,0.37,7.69,30.42,80.61,2.5,195.13,84.04,0.1,
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,12.15,36.8,3.1,13.62,9.76,19.31,4.3,0.21,8.53,0.39,2.18,29.58,72.08,3.1,222.09,140.24,0.03,
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,19.44,45.43,4.17,18.69,13.33,28.33,4.93,0.28,6.98,0.36,5.14,29.81,76.43,2.23,196.68,86.99,0.18,
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,25.43,44.51,8.55,25.95,20.76,22.91,6.41,0.29,5.95,0.29,6.87,29.11,86.47,2.3,187.64,40.51,0.17,
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,18.71,42.16,4.46,20.05,14.29,16.94,5.63,0.33,7.58,0.23,2.5,29.17,78.79,2.34,226.41,90.6,0.18,
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,24.03,55.97,7.93,27.36,21.0,17.39,7.45,0.4,7.19,0.25,3.78,29.84,80.23,2.0,232.98,92.15,0.36,
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,11.73,29.85,3.42,13.11,9.75,13.92,4.65,0.2,8.1,0.07,0.76,28.97,72.0,3.52,254.38,152.66,0.02,
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,20.62,55.26,6.57,20.35,16.17,48.36,25.84,0.22,7.77,0.62,13.47,29.5,73.17,4.73,71.97,159.82,0.04,
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,26.93,71.39,5.77,17.56,14.03,33.46,27.13,0.17,6.71,0.59,16.52,29.28,77.72,4.02,70.43,126.85,0.16,
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,20.45,42.12,4.94,20.67,15.01,31.26,8.97,0.36,7.21,0.37,6.93,28.87,80.97,2.58,136.91,116.8,0.16,
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,22.73,46.14,5.39,22.51,16.36,25.39,3.77,0.37,8.78,0.05,3.57,29.35,79.24,2.03,211.96,148.69,0.18,
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,19.7,44.37,5.49,20.97,15.62,20.83,3.86,0.35,8.66,0.03,3.1,29.72,80.15,1.84,199.98,96.32,0.16,
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,29.11,57.06,11.97,28.36,24.82,28.3,7.07,0.55,10.44,0.24,8.48,30.8,81.86,2.1,198.85,105.53,0.48,
