,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,29.75,60.76,7.53,17.38,15.37,57.62,12.26,0.31,5.79,0.24,11.53,27.13,87.51,3.75,136.18,47.24,0.05,
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,18.3,45.1,5.44,15.82,12.83,32.83,15.56,0.21,6.24,0.09,2.72,27.48,80.36,5.0,192.8,108.03,0.03,
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,14.61,42.4,4.57,13.79,11.05,20.57,16.94,0.17,6.45,0.03,2.35,27.32,78.11,5.02,217.96,126.39,0.03,
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,16.61,45.74,4.81,15.34,12.07,17.81,19.8,0.24,6.73,0.01,1.26,27.54,75.52,4.03,242.51,127.88,0.06,
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,21.53,64.84,7.67,15.96,14.72,48.32,26.28,0.27,6.65,0.11,10.26,27.56,73.32,3.62,133.04,137.47,0.03,
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,32.05,93.72,7.05,14.75,13.57,31.72,11.56,0.26,8.31,0.15,14.58,28.94,74.9,2.92,46.92,133.67,0.08,
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,25.84,67.8,3.19,11.51,8.72,26.48,9.82,0.28,9.21,0.11,6.75,30.31,77.75,2.75,56.24,103.78,0.05,
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,17.88,70.24,3.29,13.48,9.85,24.03,5.61,0.3,12.21,0.11,2.38,30.42,72.01,2.02,137.39,126.31,0.04,
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,13.15,48.6,3.23,11.78,8.9,18.48,2.22,0.29,10.48,0.08,1.41,30.29,70.4,2.21,137.16,143.65,0.04,
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,12.43,51.95,4.16,14.28,10.98,16.97,4.16,0.29,10.25,0.1,2.89,30.22,68.86,1.95,139.3,135.32,0.07,
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,13.48,39.52,2.75,10.36,7.76,17.26,3.09,0.26,13.77,0.08,1.01,30.65,69.12,2.01,137.86,139.73,0.03,
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,18.4,47.83,4.18,13.7,10.69,19.07,6.96,0.25,10.54,0.08,2.63,30.54,72.69,2.08,132.08,99.19,0.06,
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,18.24,53.27,3.13,16.73,11.21,20.62,15.12,0.32,74.44,0.2,3.87,31.04,70.3,2.14,132.46,136.35,0.06,
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,25.98,69.76,3.99,21.94,14.62,27.59,16.35,0.34,95.07,0.34,6.42,30.98,72.21,2.06,130.8,117.53,0.07,
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,34.1,80.22,5.57,23.09,16.53,37.54,34.04,0.4,63.63,0.53,12.93,31.43,77.69,2.03,150.75,115.92,0.13,
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,23.3,56.7,2.16,26.3,15.62,26.05,21.18,0.39,50.9,0.36,13.33,31.39,80.9,1.86,128.42,55.64,0.13,
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,7.87,20.5,1.04,14.74,8.51,28.26,25.85,0.25,49.99,0.17,1.97,30.66,80.49,3.08,229.79,104.21,0.03,
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,19.98,40.12,2.4,19.25,12.12,58.17,28.36,0.27,45.29,1.1,11.84,30.98,87.64,5.23,145.47,56.8,0.05,
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,29.88,55.16,2.91,18.85,12.28,42.77,38.8,0.24,30.51,0.63,14.76,30.44,90.44,5.53,95.92,39.3,0.1,
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,18.93,39.93,8.99,21.73,17.25,112.44,32.63,0.27,8.0,0.7,12.78,30.57,87.33,3.72,131.39,70.43,0.02,
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,21.15,42.02,3.15,15.91,10.84,45.75,28.39,0.28,9.13,0.49,8.78,30.72,85.62,3.31,126.69,102.25,0.05,
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,33.53,64.83,5.05,26.25,17.94,82.19,51.52,0.38,12.7,0.64,17.6,30.25,88.3,3.32,169.65,79.25,0.1,
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,31.71,58.6,4.92,25.93,17.7,45.94,36.15,0.51,11.95,0.51,15.09,30.39,87.52,2.96,152.32,87.02,0.11,
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,46.55,71.2,3.35,25.05,16.01,37.37,34.57,0.37,13.25,0.51,14.51,30.52,90.0,3.09,124.99,59.08,0.09,
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,34.77,54.95,1.32,14.47,8.63,33.81,22.06,0.22,16.62,0.4,7.71,30.37,85.84,3.92,126.9,104.86,0.02,
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,9.04,21.35,11.29,17.85,18.28,22.91,24.65,0.21,14.94,0.25,1.58,30.63,85.14,5.26,259.19,81.7,0.01,
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,9.36,20.8,1.12,12.01,7.05,17.77,23.95,0.23,15.79,0.1,0.52,32.69,81.3,5.44,250.15,93.55,0.02,
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,7.72,29.77,1.04,11.24,6.73,12.26,33.02,0.22,14.41,0.08,0.5,31.45,81.83,5.76,240.78,68.4,0.04,
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,10.12,36.09,1.28,12.8,7.73,16.39,40.81,0.16,13.59,0.17,0.92,31.08,80.27,4.91,234.38,112.07,0.03,
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,12.69,40.53,2.54,16.98,11.05,24.23,21.05,0.08,,0.3,6.48,30.69,85.21,4.37,189.56,87.21,0.01,
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,11.43,25.76,2.72,21.51,13.54,22.75,26.07,0.03,,0.36,4.57,30.61,95.07,4.39,247.44,31.57,0.05,
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,24.57,57.23,3.61,15.41,10.71,18.61,25.1,0.04,,0.42,11.28,30.83,84.1,3.89,109.04,99.01,0.03,
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,25.72,93.54,7.22,26.91,19.89,25.85,24.33,0.22,41.04,0.58,19.48,31.16,82.41,2.74,97.8,104.74,0.06,
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,41.6,89.01,7.79,22.14,17.53,37.38,28.24,0.32,32.14,0.42,16.83,31.11,83.87,3.29,101.4,103.09,0.09,
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,33.79,67.43,1.98,16.9,9.55,30.57,17.2,0.23,40.6,0.19,10.02,30.49,80.15,3.42,90.57,127.93,0.04,
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,53.62,104.22,2.73,19.78,12.35,39.97,33.92,0.29,44.4,0.55,18.66,29.72,82.23,4.38,139.78,103.55,0.06,
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,46.06,117.06,3.86,23.23,15.18,69.91,36.57,0.33,48.82,0.76,17.31,29.86,75.9,4.03,107.07,135.21,0.08,
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,45.35,118.15,13.46,17.21,13.95,37.24,22.67,0.33,50.56,0.44,8.11,30.29,72.79,3.63,67.01,119.34,0.01,
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,49.44,133.86,4.12,29.22,18.55,59.94,36.01,0.38,46.55,0.97,18.01,30.51,71.86,3.93,105.68,113.41,0.06,
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,49.95,130.47,2.68,27.59,16.65,61.57,40.49,0.35,43.03,0.63,12.47,30.14,73.76,4.14,94.5,128.21,0.06,
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,48.59,123.69,2.81,20.4,12.81,60.53,30.34,0.33,57.72,0.48,16.93,30.28,70.09,3.6,39.82,121.72,0.03,
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,61.69,133.55,1.79,24.54,14.11,60.78,49.22,0.48,48.54,0.79,20.79,30.13,77.08,3.1,66.51,43.27,0.08,
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,58.16,114.61,1.09,21.29,12.1,39.62,21.32,0.45,40.07,0.32,9.31,30.42,80.06,1.91,90.48,86.41,0.05,
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,48.49,96.38,3.09,24.07,15.11,28.93,10.65,0.47,35.33,0.17,6.17,30.52,77.28,1.66,135.89,102.94,0.18,
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,43.95,108.86,9.67,33.78,25.29,33.64,26.15,0.65,34.8,0.53,12.04,30.59,77.82,1.7,153.3,78.94,0.53,
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,24.64,54.81,2.62,18.06,11.36,38.58,18.89,0.3,22.81,0.49,9.99,30.16,90.12,2.29,127.7,42.92,0.04,
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,22.8,43.35,3.61,19.95,13.24,34.72,22.28,0.37,22.99,0.32,9.09,29.97,89.43,2.04,119.34,55.81,0.08,
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,34.09,59.24,2.75,10.76,7.77,22.56,9.39,0.26,23.25,0.16,7.32,29.9,96.09,5.95,71.14,26.29,0.01,
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,8.61,16.5,1.42,14.09,8.32,26.81,7.99,0.28,27.64,0.13,2.17,30.84,91.24,2.72,184.82,70.56,0.09,
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,16.81,35.82,1.44,18.71,11.07,15.13,2.71,0.46,33.08,0.14,1.41,30.36,83.51,2.43,235.31,100.82,0.24,
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,24.15,61.3,1.63,20.73,12.24,17.13,12.3,0.35,36.4,0.23,3.75,29.89,77.02,2.39,246.6,114.27,0.24,
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,28.55,68.38,1.57,21.6,12.59,22.94,23.19,0.31,40.5,0.27,6.74,29.88,79.77,2.63,188.24,121.62,0.05,
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,28.97,56.92,3.11,25.76,16.04,39.54,27.62,0.45,31.41,0.42,8.76,30.12,83.53,1.71,117.24,99.32,0.27,
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,48.14,98.52,4.96,33.21,21.49,30.45,32.88,0.51,20.3,0.49,19.17,29.97,83.51,1.64,95.38,82.59,0.3,
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,51.21,83.57,5.48,30.7,20.61,29.13,14.92,0.7,26.7,0.22,7.07,30.37,87.74,1.48,175.57,57.02,0.48,
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,55.12,93.01,3.64,25.18,15.77,40.35,33.09,0.41,32.32,0.4,14.84,30.25,84.36,2.51,99.33,92.21,0.09,
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,77.38,155.75,2.86,27.12,16.59,29.94,34.69,0.44,48.79,0.51,16.69,30.12,75.45,2.18,59.79,106.2,0.09,
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,71.54,156.88,6.6,41.22,27.04,39.24,35.83,0.57,57.86,0.54,12.99,30.11,66.4,1.79,103.0,116.01,0.14,
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,70.06,155.35,5.3,43.32,26.93,36.5,30.17,0.69,57.45,0.64,14.51,29.99,64.35,1.51,166.3,113.43,0.38,
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,61.45,128.71,3.29,26.01,16.06,24.1,7.62,0.67,55.29,0.28,5.35,29.88,66.09,1.66,155.35,110.83,0.45,
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,59.8,122.06,1.63,19.39,11.47,27.21,18.66,0.44,60.09,0.28,11.14,29.97,63.57,2.52,91.56,108.35,0.13,
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,57.77,120.19,1.53,17.22,10.4,21.16,16.39,0.37,75.91,0.18,3.81,29.89,61.47,3.26,96.57,106.97,0.04,
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,64.75,128.28,2.53,25.18,15.45,17.77,14.99,0.39,64.23,0.17,4.06,30.14,58.56,2.43,83.84,118.82,0.06,
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,69.34,143.15,3.89,28.12,18.11,17.07,17.62,0.38,68.06,0.15,6.24,30.49,60.36,2.19,94.72,110.65,0.06,
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,74.74,148.32,1.68,19.74,11.87,18.29,30.01,0.33,69.3,0.12,1.35,30.3,63.62,2.98,72.92,99.25,0.01,
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,77.78,163.21,1.53,18.75,11.21,16.58,21.28,0.42,77.2,0.14,0.66,30.29,63.72,3.29,66.57,114.1,0.02,
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,70.22,153.17,1.32,21.08,12.29,15.56,13.04,0.42,87.72,0.19,3.57,30.11,57.47,2.97,41.96,119.28,0.04,
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,74.9,158.02,10.19,27.89,23.1,48.63,25.87,0.49,72.19,0.41,11.08,30.0,63.64,2.79,58.01,113.55,0.04,
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,79.6,163.15,1.79,18.26,11.16,26.55,15.85,0.46,86.89,0.19,3.47,30.37,62.58,3.74,44.03,108.99,0.02,
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,65.32,157.51,1.63,25.22,14.74,21.65,26.52,0.41,76.35,0.27,9.73,30.17,52.99,3.16,35.1,116.18,0.06,
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,54.18,136.51,1.43,21.73,12.71,16.37,13.28,0.28,78.97,0.14,1.11,30.66,48.97,3.11,40.48,120.15,0.02,
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,60.95,130.58,1.59,22.42,13.21,17.09,12.02,0.48,67.3,0.15,0.99,30.62,60.14,3.4,57.59,98.32,0.04,
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,76.63,148.77,1.75,19.37,11.72,20.41,14.92,0.48,62.12,0.15,1.46,30.56,71.1,3.15,68.02,128.67,0.0,
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,68.12,149.57,1.46,24.0,13.9,11.8,22.96,0.37,90.86,0.18,0.76,31.0,45.97,3.95,32.98,162.38,0.04,
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,73.79,152.84,2.58,26.52,16.2,12.25,20.16,0.41,79.36,0.18,0.39,30.71,52.17,4.09,34.9,118.99,0.01,
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,53.91,117.08,2.39,27.26,16.41,12.35,17.56,0.44,57.56,0.18,1.26,30.41,59.34,2.94,43.45,121.03,0.05,
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,28.96,77.65,3.13,22.93,14.74,16.92,7.62,0.4,24.69,0.17,5.15,30.11,77.74,2.56,64.95,64.2,0.11,
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,27.59,73.42,4.37,21.67,15.09,17.66,5.39,0.42,28.18,0.17,3.42,30.37,75.03,2.21,88.85,75.18,0.14,
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,42.55,99.92,2.03,25.06,14.95,17.25,9.89,0.39,38.95,0.2,4.72,30.48,67.18,2.0,109.64,115.92,0.12,
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,45.14,88.71,1.41,15.48,9.38,16.46,5.78,0.36,44.58,0.17,2.78,30.45,66.58,2.09,88.9,110.48,0.07,
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,37.41,79.64,1.59,16.19,9.91,15.68,3.85,0.34,39.46,0.14,2.03,30.37,68.08,2.75,82.25,106.26,0.07,
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,51.93,96.74,2.07,26.52,15.79,14.05,4.18,0.45,38.05,0.19,3.22,30.17,62.33,2.23,95.77,115.49,0.21,
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,33.6,73.15,1.78,23.16,13.77,14.98,3.39,0.43,34.29,0.15,1.3,30.19,70.84,2.02,128.27,100.21,0.21,
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,26.1,62.66,2.23,19.43,12.15,16.02,3.07,0.41,30.51,0.15,1.8,30.31,72.99,2.31,97.59,99.25,0.17,
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,30.15,77.51,3.53,29.05,18.33,15.86,6.51,0.45,32.77,0.22,2.36,30.64,64.74,1.78,133.11,106.74,0.28,
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,52.83,141.73,4.02,35.39,22.1,17.59,12.72,0.38,30.9,0.22,4.43,30.23,60.67,2.07,129.99,95.83,0.19,
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,57.94,103.67,1.95,22.82,13.73,16.91,9.27,0.34,39.46,0.15,3.05,30.39,67.25,2.28,39.58,87.9,0.06,
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,60.58,113.41,1.55,23.46,13.74,16.65,12.75,0.41,48.3,0.16,1.87,30.44,60.94,3.1,62.23,95.8,0.04,
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,59.19,113.46,1.88,30.35,17.67,13.38,23.77,0.32,40.36,0.15,0.8,30.64,55.05,3.71,44.05,96.83,0.02,
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,48.47,90.28,1.75,22.48,13.36,13.03,14.19,0.29,37.21,0.15,2.13,30.26,61.69,3.19,51.93,106.27,0.05,
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,33.45,64.69,250.61,12.23,207.22,10.27,5.07,0.39,30.13,0.13,0.9,30.71,75.88,4.08,50.03,52.8,0.02,
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,45.65,56.91,64.93,13.43,59.04,10.95,4.43,0.31,28.16,0.12,1.21,29.84,88.77,4.51,37.5,37.07,0.0,
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,33.16,60.58,2.29,18.46,11.68,12.89,5.51,0.47,25.11,0.12,1.31,29.6,84.83,3.51,84.14,78.67,0.05,
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,40.17,77.15,2.06,21.06,12.87,14.82,3.49,0.44,28.38,0.19,3.33,30.16,78.99,1.85,142.14,78.05,0.16,
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,62.29,122.32,3.47,36.55,22.25,15.3,5.92,0.54,35.03,0.29,5.31,29.79,67.96,1.33,123.69,85.94,0.33,
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,64.59,132.96,3.97,36.96,22.89,16.9,8.29,0.51,37.23,0.27,7.56,30.21,67.44,1.9,93.23,112.92,0.22,
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,63.46,132.53,12.29,26.94,23.94,22.75,15.29,0.44,45.96,0.33,7.45,30.04,62.12,2.65,40.79,113.82,0.05,
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,67.32,133.3,13.07,28.75,25.49,17.79,13.15,0.49,44.01,0.22,3.88,29.98,64.29,1.94,69.47,94.69,0.11,
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,62.44,122.41,2.17,28.41,16.89,16.56,12.75,0.42,38.08,0.19,3.21,29.98,62.79,2.2,64.8,90.94,0.08,
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,60.58,110.0,1.77,27.83,16.23,14.01,15.34,0.38,42.16,0.18,2.26,30.38,55.08,2.9,55.96,107.09,0.06,
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,51.43,103.28,1.56,26.44,15.34,12.37,11.11,0.39,40.44,0.19,2.39,30.78,54.26,2.4,65.86,114.62,0.1,
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,53.3,100.51,1.73,25.48,14.94,14.43,13.47,0.37,37.81,0.19,3.42,30.46,61.1,2.78,58.73,109.42,0.03,
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,56.44,118.84,5.22,40.36,25.72,15.36,9.66,0.63,32.97,0.3,8.64,30.72,55.53,2.13,92.57,114.66,0.53,
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,60.15,123.8,3.68,45.73,27.31,14.22,10.37,0.55,33.53,0.35,7.01,30.74,51.78,1.82,95.04,112.58,0.53,
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,63.47,131.22,6.74,44.03,28.78,16.42,8.1,0.56,36.56,0.33,6.74,30.53,54.24,1.93,99.55,111.33,0.49,
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,54.11,98.07,1.51,25.46,14.74,15.46,5.58,0.43,43.03,0.19,1.76,30.78,56.25,2.04,113.83,111.59,0.18,
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,70.47,120.81,1.9,27.56,16.2,16.6,6.86,0.45,42.63,0.22,2.51,30.57,64.12,2.0,121.01,105.82,0.18,
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,75.14,138.12,3.23,31.94,19.61,18.02,7.85,0.52,40.58,0.35,5.42,30.46,64.9,1.84,125.06,103.49,0.18,
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,65.12,108.36,1.56,24.6,14.31,15.29,6.73,0.4,40.33,0.2,1.98,30.78,60.86,2.24,99.46,107.17,0.12,
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,64.16,109.89,2.0,24.9,14.87,15.9,5.31,0.46,36.89,0.2,2.29,30.59,65.45,2.54,85.7,106.51,0.15,
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,72.94,137.82,2.0,27.76,16.33,17.05,5.73,0.58,33.8,0.26,3.66,30.36,71.96,2.07,94.39,99.08,0.19,
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,68.57,123.0,1.68,28.69,16.62,16.52,6.16,0.52,33.79,0.25,4.59,30.51,66.76,1.95,108.93,102.65,0.2,
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,75.11,144.92,1.73,29.24,16.95,17.08,9.78,0.56,32.86,0.23,4.95,30.2,66.49,2.1,71.72,95.41,0.11,
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,73.48,137.47,1.58,22.67,13.31,14.38,10.18,0.45,34.48,0.19,2.03,30.32,59.54,3.07,52.55,99.97,0.05,
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,67.67,114.67,1.74,21.08,12.57,12.19,14.31,0.39,35.5,0.15,0.36,30.38,56.33,3.93,32.7,107.55,0.01,
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,59.83,121.51,1.4,27.67,15.74,10.66,17.97,0.4,34.15,0.19,1.05,30.38,46.67,3.31,29.91,113.27,0.06,
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,63.09,123.98,1.79,33.83,19.44,11.08,19.77,0.38,33.11,0.26,2.87,30.86,46.24,2.13,61.98,112.08,0.12,
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,71.09,144.84,3.37,37.36,22.6,14.49,13.93,0.63,36.61,0.35,7.7,30.64,53.32,1.74,92.18,107.97,0.2,
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,77.96,148.9,2.94,35.78,21.43,16.24,8.86,0.55,36.38,0.35,6.49,30.54,62.71,1.84,81.45,103.72,0.23,
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,78.59,163.59,1.9,36.05,20.67,18.19,6.39,0.63,34.24,0.34,6.81,30.42,69.25,1.53,84.09,96.27,0.22,
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,77.65,162.2,2.64,37.85,22.19,19.18,7.05,0.68,32.76,0.33,7.51,30.33,67.06,1.32,94.18,97.11,0.22,
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,74.44,159.04,3.65,46.88,13.46,9.2,10.29,0.61,32.1,0.27,5.14,30.55,60.47,2.07,68.58,103.2,0.13,
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,80.05,162.65,1.35,35.65,11.26,19.3,10.27,0.65,32.89,0.38,6.01,30.68,58.58,1.76,98.34,96.85,0.26,
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,80.16,161.93,1.61,28.24,16.31,24.51,6.06,0.55,36.17,0.25,2.14,30.59,64.18,2.04,109.32,96.17,0.12,
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,80.39,159.71,1.55,22.73,13.34,24.0,5.45,0.54,37.84,0.2,1.7,30.2,69.06,2.34,93.4,94.46,0.1,
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,80.97,161.84,1.58,23.78,13.92,23.83,3.3,0.58,33.19,0.2,1.7,30.26,74.49,2.31,88.71,79.54,0.1,
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,79.29,163.92,1.43,22.26,12.96,22.7,3.34,0.63,33.52,0.2,1.7,30.14,73.75,2.0,114.54,88.17,0.1,
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,78.15,159.71,1.97,30.55,17.86,19.65,3.79,0.59,32.43,0.2,1.7,30.04,69.15,1.96,112.75,95.19,0.1,
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,78.27,167.64,1.55,32.03,18.27,19.37,2.67,0.64,31.02,0.2,1.7,30.01,71.55,2.02,111.54,88.25,0.1,
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,70.5,121.82,11.06,23.29,21.16,16.56,3.52,0.42,30.72,0.21,1.98,30.26,66.72,2.8,93.49,103.15,0.15,
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,53.6,87.51,1.64,20.38,12.17,17.82,2.74,0.41,28.49,0.17,1.47,30.27,71.48,2.29,114.22,97.8,0.07,
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,58.54,90.11,1.88,22.53,13.51,20.95,3.41,0.5,22.01,0.21,1.92,30.36,79.36,1.71,119.92,39.78,0.15,
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,62.3,96.66,4.02,34.3,21.48,21.39,5.9,0.53,21.76,0.28,3.69,30.24,74.66,1.9,132.92,60.56,0.18,
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,59.56,111.22,1.84,21.94,13.16,21.69,2.38,0.47,24.67,0.19,2.13,30.26,72.97,2.21,118.42,84.18,0.09,
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,38.64,75.33,14.79,33.25,29.71,20.2,3.82,0.38,19.1,0.13,1.7,30.67,68.85,2.46,124.2,109.2,0.07,
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,52.65,95.79,20.87,37.73,37.04,19.33,5.09,0.42,20.76,0.2,2.26,30.55,62.45,2.08,115.38,106.75,0.11,
