,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
35,26-May-2020 - 00:00,27-May-2020 - 00:00,18.61,2.3,4.84,7.08,3.9,0.39,10.66,0.0,0.0,,,,31.47,,0.79,237.47,109.34
36,27-May-2020 - 00:00,28-May-2020 - 00:00,14.26,2.42,5.3,7.64,3.52,0.47,16.03,0.0,0.0,0.04,,,31.52,,0.95,245.95,100.66
37,28-May-2020 - 00:00,29-May-2020 - 00:00,23.13,2.47,7.02,9.44,2.47,0.36,14.58,0.0,0.0,,,,32.21,,0.91,253.38,108.52
38,29-May-2020 - 00:00,30-May-2020 - 00:00,40.23,3.23,11.81,14.93,3.82,0.57,26.74,0.0,0.0,0.04,,,32.49,,0.99,258.71,107.48
39,30-May-2020 - 00:00,31-May-2020 - 00:00,22.07,4.15,5.47,9.71,2.81,0.57,40.29,0.0,0.0,,,,31.85,,0.97,251.59,107.85
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,13.4,3.47,4.58,8.1,2.64,0.47,29.04,0.0,0.0,,,,31.32,,1.08,249.64,111.7
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,74.54,4.52,6.02,10.46,4.21,0.56,6.77,0.0,0.03,,,,31.34,,0.82,251.1,79.05
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,11.25,4.78,6.64,11.23,5.21,0.56,20.87,0.0,0.05,0.06,,,31.64,,0.96,256.79,98.72
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,16.14,3.87,5.19,8.96,2.13,0.41,38.02,0.0,0.05,0.08,,0.09,31.89,,1.22,266.5,113.9
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,10.26,4.08,5.44,9.55,2.64,0.48,63.09,0.0,0.07,,,,32.08,,1.06,268.6,98.22
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,12.44,4.76,6.34,11.02,2.56,0.46,34.69,0.09,0.04,,,,31.78,,1.22,276.22,100.35
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,90.76,4.16,5.43,9.69,3.3,0.55,4.29,0.0,0.0,,,,31.09,,0.98,267.1,88.71
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,15.42,4.48,5.95,10.47,3.8,0.48,14.65,0.0,0.06,,,,31.83,,1.39,252.49,108.7
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,23.85,3.62,4.85,8.45,5.33,0.46,16.72,0.0,0.07,0.06,,,32.7,,1.47,224.61,115.15
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,18.7,4.25,7.84,11.94,4.45,0.49,37.78,0.04,0.06,,,0.06,32.0,,1.14,243.49,69.13
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,18.83,4.25,8.89,13.13,3.28,0.65,41.82,0.0,0.0,,,,31.11,,0.63,198.41,40.28
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,24.42,9.35,0.77,7.98,3.52,0.63,74.85,0.0,0.0,,,,29.13,,1.31,255.91,47.57
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,353.2,7.57,2.85,7.91,6.66,0.5,42.9,0.0,0.0,,,,30.41,,2.17,316.69,94.48
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,16.84,5.76,1.95,7.5,3.93,0.51,31.33,0.0,0.05,,,,32.29,,1.6,295.65,113.91
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,17.12,5.34,22.01,27.34,1.37,0.4,31.32,0.0,0.0,,,,32.76,,1.52,289.31,89.53
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,18.79,4.79,7.86,12.62,9.09,0.48,27.93,0.0,0.07,0.14,,0.26,33.33,,1.81,300.41,94.81
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,22.17,3.74,5.42,9.15,3.85,0.52,34.77,0.0,0.0,,,,32.32,,1.01,283.07,109.17
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,35.55,4.13,8.79,12.92,4.32,0.47,28.08,0.0,0.0,,,,32.65,,1.28,288.74,115.04
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,15.53,5.24,11.31,16.5,4.57,0.56,85.25,0.0,0.02,,,0.18,32.6,,1.18,300.4,94.4
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,17.48,5.1,2.41,7.39,2.33,0.43,62.55,0.21,0.0,0.09,,,32.62,,1.44,254.03,128.39
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,275.82,4.3,3.14,7.43,3.51,0.45,81.82,0.0,0.0,,,,32.2,,1.4,245.19,91.31
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,18.5,3.68,2.08,5.7,3.61,0.45,58.24,0.0,0.0,,,,31.03,,1.01,232.51,66.45
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,17.48,5.14,2.27,7.36,4.09,0.39,82.52,0.0,0.0,,,,30.13,,1.25,234.93,121.29
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,10.2,22.53,13.86,36.15,6.85,0.43,76.37,0.09,0.0,0.16,,,30.09,,1.06,273.12,130.64
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,37.32,4.32,0.63,4.13,4.1,0.46,71.71,0.0,0.0,,,,30.19,,0.79,264.05,120.35
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,19.1,4.39,0.87,4.8,3.23,0.44,62.64,0.0,0.08,,,0.09,29.34,,0.7,231.12,51.5
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,16.12,5.58,2.48,7.39,3.27,0.43,54.93,0.07,0.0,0.1,,,30.16,,0.54,203.3,85.25
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,33.57,5.19,5.12,10.31,2.78,0.43,56.92,0.05,0.06,,,,30.25,,0.46,200.92,52.31
